,Season,Game,HR,Team,TOI(min)
124,2012,20063,Home,CGY,41.78333333333334
125,2012,20063,Road,EDM,41.78333333333334
126,2012,20064,Home,ANA,46.45
127,2012,20064,Road,NSH,46.45
128,2012,20065,Home,WSH,51.01666666666667
129,2012,20065,Road,BUF,51.01666666666667
130,2012,20066,Home,OTT,47.50000000000001
131,2012,20066,Road,PIT,47.50000000000001
132,2012,20067,Home,MTL,48.93333333333334
133,2012,20067,Road,NJD,48.93333333333334
134,2012,20068,Home,TBL,41.15
135,2012,20068,Road,PHI,41.15
136,2012,20069,Home,CHI,45.33333333333333
137,2012,20069,Road,DET,45.33333333333333
138,2012,20070,Home,WPG,49.766666666666666
139,2012,20070,Road,NYI,49.766666666666666
140,2012,20071,Home,STL,44.116666666666674
141,2012,20071,Road,MIN,44.116666666666674
142,2012,20072,Home,SJS,33.13333333333333
143,2012,20072,Road,VAN,33.13333333333333
144,2012,20073,Home,CAR,0.016666666666666666
145,2012,20073,Road,BOS,0.016666666666666666
146,2012,20074,Home,CBJ,42.38333333333334
147,2012,20074,Road,DAL,42.38333333333334
148,2012,20075,Home,PHX,46.63333333333333
149,2012,20075,Road,NSH,46.63333333333333
150,2012,20076,Home,EDM,44.13333333333333
151,2012,20076,Road,COL,44.13333333333333
152,2012,20077,Home,LAK,48.16666666666667
153,2012,20077,Road,VAN,48.16666666666667
154,2012,20078,Home,BOS,45.900000000000006
155,2012,20078,Road,NJD,45.900000000000006
156,2012,20079,Home,BUF,55.76666666666667
157,2012,20079,Road,TOR,55.76666666666667
158,2012,20080,Home,NYR,46.38333333333334
159,2012,20080,Road,PHI,46.38333333333334
160,2012,20081,Home,MTL,44.05
161,2012,20081,Road,WPG,44.05
162,2012,20082,Home,OTT,44.41666666666667
163,2012,20082,Road,WSH,44.41666666666667
164,2012,20083,Home,PIT,50.38333333333333
165,2012,20083,Road,NYI,50.38333333333333
166,2012,20084,Home,TBL,44.466666666666676
167,2012,20084,Road,FLA,44.466666666666676
168,2012,20085,Home,DET,41.216666666666676
169,2012,20085,Road,DAL,41.216666666666676
170,2012,20086,Home,MIN,49.416666666666664
171,2012,20086,Road,CBJ,49.416666666666664
172,2012,20087,Home,SJS,48.88333333333334
173,2012,20087,Road,ANA,48.88333333333334
174,2012,20088,Home,OTT,45.38333333333334
175,2012,20088,Road,MTL,45.38333333333334
176,2012,20089,Home,MIN,50.949999999999996
177,2012,20089,Road,CHI,50.949999999999996
178,2012,20090,Home,PHX,51.38333333333333
179,2012,20090,Road,EDM,51.38333333333333
180,2012,20091,Home,VAN,45.86666666666667
181,2012,20091,Road,COL,45.86666666666667
182,2012,20092,Home,BOS,48.05
183,2012,20092,Road,BUF,48.05
184,2012,20093,Home,TOR,0.016666666666666666
185,2012,20093,Road,WSH,0.016666666666666666
186,2012,20094,Home,NJD,47.483333333333334
187,2012,20094,Road,NYI,47.483333333333334
188,2012,20095,Home,NYR,42.23333333333334
189,2012,20095,Road,PIT,42.23333333333334
190,2012,20096,Home,CBJ,46.46666666666667
191,2012,20096,Road,STL,46.46666666666667
192,2012,20097,Home,FLA,46.599999999999994
193,2012,20097,Road,WPG,46.599999999999994
194,2012,20098,Home,CGY,52.616666666666674
195,2012,20098,Road,COL,52.616666666666674
196,2012,20099,Home,LAK,46.48333333333334
197,2012,20099,Road,NSH,46.48333333333334
198,2012,20100,Home,SJS,47.3
199,2012,20100,Road,EDM,47.3
200,2012,20101,Home,WSH,45.45
201,2012,20101,Road,PHI,45.45
202,2012,20102,Home,CAR,26.6
203,2012,20102,Road,OTT,26.6
204,2012,20103,Home,TBL,45.7
205,2012,20103,Road,WPG,45.7
206,2012,20104,Home,DET,38.1
207,2012,20104,Road,STL,38.1
208,2012,20105,Home,DAL,51.00000000000001
209,2012,20105,Road,PHX,51.00000000000001
210,2012,20106,Home,VAN,43.60000000000001
211,2012,20106,Road,CHI,43.60000000000001
212,2012,20107,Home,ANA,53.93333333333333
213,2012,20107,Road,MIN,53.93333333333333
214,2012,20108,Home,PIT,50.96666666666667
215,2012,20108,Road,NJD,50.96666666666667
216,2012,20109,Home,MTL,40.06666666666667
217,2012,20109,Road,BUF,40.06666666666667
218,2012,20110,Home,COL,42.41666666666668
219,2012,20110,Road,EDM,42.41666666666668
220,2012,20111,Home,TOR,50.83333333333334
221,2012,20111,Road,BOS,50.83333333333334
222,2012,20112,Home,PHI,44.53333333333334
223,2012,20112,Road,CAR,44.53333333333334
224,2012,20113,Home,TBL,54.53333333333333
225,2012,20113,Road,NYR,54.53333333333333
226,2012,20114,Home,CBJ,44.233333333333334
227,2012,20114,Road,DET,44.233333333333334
228,2012,20115,Home,PHX,44.55000000000001
229,2012,20115,Road,DAL,44.55000000000001
230,2012,20116,Home,CGY,51.05
231,2012,20116,Road,CHI,51.05
232,2012,20117,Home,ANA,48.31666666666666
233,2012,20117,Road,LAK,48.31666666666666
234,2012,20118,Home,SJS,44.81666666666666
235,2012,20118,Road,NSH,44.81666666666666
236,2012,20119,Home,WSH,52.03333333333334
237,2012,20119,Road,PIT,52.03333333333334
238,2012,20120,Home,MTL,44.28333333333334
239,2012,20120,Road,OTT,44.28333333333334
240,2012,20121,Home,BUF,55.26666666666667
241,2012,20121,Road,FLA,55.26666666666667
242,2012,20122,Home,NYI,37.916666666666664
243,2012,20122,Road,NJD,37.916666666666664
244,2012,20123,Home,TOR,0.016666666666666666
245,2012,20123,Road,CAR,0.016666666666666666
246,2012,20124,Home,COL,44.55000000000001
247,2012,20124,Road,DAL,44.55000000000001
248,2012,20125,Home,PHX,54.13333333333333
249,2012,20125,Road,MIN,54.13333333333333
250,2012,20126,Home,EDM,46.58333333333334
251,2012,20126,Road,VAN,46.58333333333334
252,2012,20127,Home,ANA,38.75000000000001
253,2012,20127,Road,SJS,38.75000000000001
254,2012,20128,Home,NJD,44.80000000000001
255,2012,20128,Road,NYR,44.80000000000001
256,2012,20129,Home,NYI,42.599999999999994
257,2012,20129,Road,PIT,42.599999999999994
258,2012,20130,Home,WSH,50.00000000000001
259,2012,20130,Road,TOR,50.00000000000001
260,2012,20131,Home,CBJ,44.95
261,2012,20131,Road,LAK,44.95
262,2012,20132,Home,OTT,51.31666666666667
263,2012,20132,Road,BUF,51.31666666666667
264,2012,20133,Home,PHI,49.81666666666668
265,2012,20133,Road,TBL,49.81666666666668
266,2012,20134,Home,DET,48.333333333333336
267,2012,20134,Road,CGY,48.333333333333336
268,2012,20135,Home,WPG,51.88333333333333
269,2012,20135,Road,FLA,51.88333333333333
270,2012,20136,Home,STL,46.650000000000006
271,2012,20136,Road,NSH,46.650000000000006
272,2012,20137,Home,SJS,44.95
273,2012,20137,Road,CHI,44.95
274,2012,20138,Home,MTL,42.23333333333334
275,2012,20138,Road,BOS,42.23333333333334
276,2012,20139,Home,COL,52.73333333333334
277,2012,20139,Road,ANA,52.73333333333334
278,2012,20140,Home,EDM,49.25
279,2012,20140,Road,DAL,49.25
280,2012,20141,Home,BUF,41.483333333333334
281,2012,20141,Road,MTL,41.483333333333334
282,2012,20142,Home,NJD,45.2
283,2012,20142,Road,TBL,45.2
284,2012,20143,Home,NYR,47.233333333333334
285,2012,20143,Road,NYI,47.233333333333334
286,2012,20144,Home,PHI,48.56666666666666
287,2012,20144,Road,FLA,48.56666666666666
288,2012,20145,Home,PIT,50.8
289,2012,20145,Road,WSH,50.8
290,2012,20146,Home,CBJ,48.10000000000001
291,2012,20146,Road,CGY,48.10000000000001
292,2012,20147,Home,OTT,51.68333333333334
293,2012,20147,Road,CAR,51.68333333333334
294,2012,20148,Home,WPG,46.61666666666667
